sm	R	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
sm-.0001	R-10	N-100	2D	13269-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	15613-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	17928-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	19430-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	22972-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	23038-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	23513-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	2368-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	25227-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	2757-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	2783-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	28217-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	30358-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	34145-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	3477-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	3727-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	39111-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	43692-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	51516-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	57166-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	57508-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	58275-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	58332-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	6161-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	61895-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	6873-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
