mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	37820-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.484031707135962	0.929253731343283	NA	24975	6300	NA	402	99	NA	3375	3150	NA
mu1e-5	sm-.0001	N-100	1D	38668-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.404806687953269	0.977747122971004	NA	24975	4300	NA	402	99	NA	1225	2175	NA
mu1e-5	sm-.0001	N-100	1D	40632-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.521307764659291	0.954976129453741	NA	24975	3450	NA	402	99	NA	2000	1000	NA
mu1e-5	sm-.0001	N-100	1D	4080-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.498525407786936	0.981906125935977	NA	24975	9225	NA	402	99	NA	5975	7575	NA
mu1e-5	sm-.0001	N-100	1D	43069-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.351635603079132	0.971947334036886	NA	24975	4450	NA	402	99	NA	2150	2025	NA
mu1e-5	sm-.0001	N-100	1D	43638-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.347945471646741	0.984005728931102	NA	24975	11950	NA	402	99	NA	6975	9250	NA
mu1e-5	sm-.0001	N-100	1D	44097-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.338034454592708	0.942955424895723	NA	24975	9700	NA	402	99	NA	6575	7925	NA
mu1e-5	sm-.0001	N-100	1D	44968-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.257414049157199	0.944744459520579	NA	24975	11050	NA	402	99	NA	5200	10025	NA
mu1e-5	sm-.0001	N-100	1D	47028-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.772303779609416	0.99322277501382	NA	24975	9325	NA	402	99	NA	3000	2000	NA
mu1e-5	sm-.0001	N-100	1D	47287-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.295727952278409	0.954692698125534	NA	24975	6050	NA	402	99	NA	5700	4550	NA
mu1e-5	sm-.0001	N-100	1D	47387-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.442662062820227	0.967682798130559	NA	24975	5800	NA	402	99	NA	5025	3600	NA
mu1e-5	sm-.0001	N-100	1D	47677-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.301901561842529	0.944302226242525	NA	24975	4975	NA	402	99	NA	4300	3350	NA
mu1e-5	sm-.0001	N-100	1D	47762-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.194928838395089	0.947184783154932	NA	24975	7700	NA	402	99	NA	2825	4700	NA
mu1e-5	sm-.0001	N-100	1D	47929-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.307627781490557	0.96613246896829	NA	24975	11775	NA	402	99	NA	5100	10275	NA
mu1e-5	sm-.0001	N-100	1D	49580-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.496396128808693	0.974372078998945	NA	24975	4625	NA	402	99	NA	3375	2775	NA
mu1e-5	sm-.0001	N-100	1D	52358-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.437641518774288	0.96951354339414	NA	24975	4075	NA	402	99	NA	1225	1725	NA
mu1e-5	sm-.0001	N-100	1D	52377-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.317189426004307	0.946889793456958	NA	24975	6800	NA	402	99	NA	825	3625	NA
mu1e-5	sm-.0001	N-100	1D	52609-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.382374074899136	0.983356952610684	NA	24975	6375	NA	402	99	NA	3000	1825	NA
mu1e-5	sm-.0001	N-100	1D	53016-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.28257691641296	0.960530177395849	NA	24975	3400	NA	402	99	NA	250	1725	NA
mu1e-5	sm-.0001	N-100	1D	53680-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.624478602014802	0.951392532288055	NA	24975	10275	NA	402	99	NA	4950	7450	NA
mu1e-5	sm-.0001	N-100	1D	55372-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.584496918393109	0.975686215387708	NA	24975	4150	NA	402	99	NA	1250	2225	NA
mu1e-5	sm-.0001	N-100	1D	55398-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.299048538402515	0.946720940750791	NA	24975	8150	NA	402	99	NA	2750	6550	NA
mu1e-5	sm-.0001	N-100	1D	5788-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.414886388950769	0.975547012412684	NA	24975	6750	NA	402	99	NA	4050	1375	NA
